feed,current_id,new_id,product_id,title,in_tims_114
googleshoppingfs,9878909944124,st4400,9878909944124,"Star Trac Recumbent Bike 4400 - Remanufactured in USA, 1-Year Parts & ",YES
googleshoppingfs,9878910763324,ST4TR15IN2024,9878910763324,"Star Trac 4 Series Treadmill w/15"" Embedded Display - Black, 2024 Mode",YES
googleshoppingfs,9878911549756,st5600,9878911549756,"Star Trac 5600 Pro Commercial Treadmill - Remanufactured in USA, 1-Yea",YES
googleshoppingfs,9878912172348,st6430,9878912172348,"Star Trac Pro Recumbent Bike 6430 - Remanufactured in USA, 1-Year Part",YES
googleshoppingfs,9878912663868,st7600,9878912663868,"Star Trac 7600 Pro Treadmill - Remanufactured in USA, 1-Year Parts & L",YES
googleshoppingfs,9878916104508,StarECT,9878916104508,"Star Trac E-CT Elliptical - Remanufactured in USA, 1-Year Parts & Labo",YES
googleshoppingfs,9878918005052,stblade,9878918005052,"Star Trac Blade Indoor Cycle - Remanufactured in USA, 1-Year Parts & L",YES
googleshoppingfs,9878919184700,ste-e-tc,9878919184700,"Star Trac E-TC Treadclimber - Remanufactured in USA, 1-Year Parts & La",YES
googleshoppingfs,9878920331580,ste-EE4600,9878920331580,"Star Trac EE4600 Edge Elliptical - Remanufactured in USA, 1-Year Parts",YES
googleshoppingfs,9878920888636,ste-EE5200,9878920888636,"Star Trac EE5200 Natural Runner Elliptical - Remanufactured in USA, 1-",YES
googleshoppingfs,9878921380156,ste-ptbtx,9878921380156,Star Trac P-TBTx Total Body Trainer Elliptical - Remanufactured in USA,YES
googleshoppingfs,9878922494268,ste-rb,9878922494268,"Star Trac E-RB E Series Recumbent Bike - Remanufactured in USA, 1-Year",YES
googleshoppingfs,9878923772220,ste-rbe,9878923772220,"Star Trac E-RBe Recumbent Bike w/Touch Screen - Remanufactured in USA,",YES
googleshoppingfs,9878924230972,ste-sm,9878924230972,"Star Trac E-SM Stairmill 9-5180-MINTPO - Remanufactured in USA, 1-Year",YES
googleshoppingfs,9878925443388,ste-st,9878925443388,"Star Trac E-ST Stepper - Remanufactured in USA, 1-Year Parts & Labor W",YES
googleshoppingfs,9878926754108,STE-STe,9878926754108,Star Trac E-STe E Series Stepper w/Embedded Screen - Remanufactured in,YES
googleshoppingfs,9878927311164,ste-tbt,9878927311164,"Star Trac E-TBT E Series Elliptical - Remanufactured in USA, 1-Year Pa",YES
googleshoppingfs,9878928589116,ste-tr,9878928589116,"Star Trac E-TR E Series Treadmill - Remanufactured in USA, 1-Year Part",YES
googleshoppingfs,9878929506620,ste-tre,9878929506620,"Star Trac E-TRE Touch Screen Treadmill - Remanufactured in USA, 1-Year",YES
googleshoppingfs,9878930129212,ste-trx,9878930129212,"Star Trac E-TRX Treadmill - Remanufactured in USA, 1-Year Parts & Labo",YES
googleshoppingfs,9878931636540,ste-trxe,9878931636540,"Star Trac E-TRxe Treadmill 9-9051-MUSAPO - Remanufactured in USA, 1-Ye",YES
googleshoppingfs,9878932324668,ste-ub,9878932324668,"Star Trac E-UB E Series Upright Bike - Remanufactured in USA, 1-Year P",YES
